"X","개설년도","운영중인.점포.계...빈점포.","매장면적...","종사자.수.명.","주차.면수","용도지역_일반상업","용도지역_일반전용주거","용도지역_전용주거","용도지역_준전용주거","k_means_2","k_means_3","k_medoids_3","k_medoids_4","k_medoids_5","유동인구","시장명"
3,1948,144,3892,442,0,1,0,0,0,1,0,0,1,1,659.5833333,"창선상가"
6,1987,385,7652.28,258,130,1,0,0,0,1,0,0,1,1,714.25," 신동아수산물
종합시장"
8,1995,215,9584,145,108,1,0,0,0,1,0,0,1,3,538.555555566667,"월드밸리"
10,1950,64,5597,160,0,1,0,0,0,1,0,0,1,3,600.1666667,"새영주시장"
21,1979,51,231,68,23,1,0,0,0,1,0,0,1,3,610.972222233333,"수정시장"
22,1975,40,3292,40,0,1,0,0,0,1,0,0,1,3,611.1666667,"초량시장"
26,1970,78,2757,100,0,0,0,1,0,1,0,0,1,3,603,"범일골목시장"
27,1970,44,2813,44,0,0,0,1,0,1,0,0,1,3,501.055555533333,"수정4동골목시장"
28,1970,900,6327,710,173,1,0,0,0,1,0,0,1,3,591.4166667,"부산평화시장"
32,1978,28,450,48,0,0,0,0,1,1,0,0,1,3,518.25,"개금큰시장"
37,1981,262,4545,140,62,1,0,0,0,1,0,0,1,3,485.25,"서면중앙시장"
40,1971,73,7445,133,66,1,0,0,0,1,0,0,1,3,603.5,"양정시장"
41,1995,90,3169,135,40,0,1,0,0,1,0,0,1,3,610.3333332,"국제상가"
49,2012,59,5153,62,0,0,0,0,1,1,0,0,1,3,621.9166667,"동평새시장"
52,2014,84,3054,84,0,1,0,0,0,1,0,1,1,2,858.1666667,"부전기장골목시장"
53,1968,74,2547,74,0,1,0,0,0,1,0,0,1,3,540.3333333,"철뚝시장"
