field_1,행정구역,전통시장 수,빈점포 수,점포상인 수,전통시장 수_int,점포상인 수_int,빈 점포 수_int
"0",서울특별시,"209","4180","40810",209.000,40810.000,4180.000
"1",부산광역시,"168","3851","23541",168.000,23541.000,3851.000
"2",대구광역시,"101","3436","14118",101.000,14118.000,3436.000
"3",인천광역시,"44","384","10725",44.000,10725.000,384.000
"4",광주광역시,"24","210","2880",24.000,2880.000,210.000
"5",대전광역시,"28","213","2734",28.000,2734.000,213.000
"6",울산광역시,"39","342","3728",39.000,3728.000,342.000
"7",경기도,"142","1410","19112",142.000,19112.000,1410.000
"8",강원도,"59","697","6747",59.000,6747.000,697.000
"9",충청북도,"57","518","6088",57.000,6088.000,518.000
"10",충청남도,"58","530","6597",58.000,6597.000,530.000
"11",전라북도,"58","465","4246",58.000,4246.000,465.000
"12",전라남도,"93","561","6353",93.000,6353.000,561.000
"13",경상북도,"138","2186","14545",138.000,14545.000,2186.000
"14",경상남도,"157","2817","15103",157.000,15103.000,2817.000
"15",제주특별자치도,"22","208","3701",22.000,3701.000,208.000
"16",세종특별자치시,"4","34","546",4.000,546.000,34.000
