,행정동,cluster
0,남항동1가,0
1,대평동2가,0
2,대평동1가,0
3,대교동2가,0
4,대교동1가,0
5,범일동,1
6,좌천동,0
7,수정동,1
8,초량동,1
9,암남동,0
10,남부민동,0
11,충무동3가,0
12,충무동2가,0
13,충무동1가,0
14,초장동,0
15,토성동5가,0
16,토성동4가,0
17,아미동2가,0
18,아미동1가,0
19,토성동3가,0
20,토성동2가,0
21,토성동1가,0
22,부민동3가,0
23,부민동2가,0
24,부민동1가,0
25,부용동2가,0
26,부용동1가,0
27,서대신동3가,0
28,서대신동2가,0
29,서대신동1가,0
30,동대신동3가,0
31,동대신동2가,0
32,동대신동1가,0
33,남포동6가,0
34,남포동5가,0
35,남포동4가,0
36,남포동3가,0
37,남포동2가,0
38,남포동1가,0
39,광복동3가,0
40,광복동2가,0
41,광복동1가,0
42,창선동2가,1
43,창선동1가,0
44,신창동4가,0
45,신창동3가,0
46,중앙동4가,0
47,신창동2가,0
48,신창동1가,0
49,부평동4가,0
50,부평동3가,0
51,철마면,0
52,일광읍,0
53,정관읍,0
54,장안읍,0
55,기장읍,0
56,엄궁동,0
57,학장동,0
58,주례동,0
59,감전동,0
60,괘법동,0
61,부평동2가,1
62,부평동1가,0
63,보수동3가,0
64,보수동2가,0
65,보수동1가,0
66,대청동4가,0
67,대청동3가,0
68,덕포동,0
69,모라동,0
70,삼락동,0
71,남천동,0
72,광안동,0
73,민락동,0
74,수영동,0
75,망미동,0
76,연산동,0
77,거제동,0
78,대항동,0
79,천성동,0
80,눌차동,0
81,성북동,0
82,동선동,0
83,신호동,0
84,범방동,0
85,미음동,0
86,지사동,0
87,구랑동,0
88,생곡동,0
89,녹산동,0
90,화전동,0
91,송정동,0
92,봉림동,0
93,죽동동,0
94,식만동,0
95,죽림동,0
96,명지동,0
97,대청동2가,0
98,대청동1가,0
99,동광동5가,0
100,동광동4가,0
101,동광동3가,0
102,강동동,0
103,대저2동,0
104,대저1동,0
105,금성동,0
106,회동동,0
107,금사동,0
108,서동,0
109,부곡동,0
110,장전동,0
111,구서동,0
112,오륜동,0
113,선동,0
114,남산동,0
115,청룡동,0
116,노포동,0
117,두구동,0
118,감천동,0
119,구평동,0
120,다대동,0
121,장림동,0
122,신평동,0
123,하단동,0
124,당리동,0
125,괴정동,0
126,송정동,0
127,좌동,0
128,중동,0
129,우동,0
130,재송동,0
131,반여동,0
132,석대동,0
133,반송동,0
134,구포동,0
135,덕천동,0
136,만덕동,0
137,화명동,0
138,금곡동,0
139,감만동,0
140,우암동,0
141,문현동,0
142,용당동,0
143,용호동,0
144,대연동,0
145,사직동,0
146,온천동,0
147,명륜동,0
148,수안동,0
149,복천동,0
150,낙민동,0
151,동광동2가,0
152,동광동1가,0
153,중앙동7가,0
154,칠산동,0
155,안락동,0
156,명장동,0
157,개금동,1
158,가야동,0
159,당감동,1
160,부암동,1
161,초읍동,0
162,범전동,0
163,범천동,1
164,부전동,1
165,전포동,1
166,양정동,1
167,동삼동,0
168,청학동,0
169,봉래동5가,0
170,봉래동4가,0
171,봉래동3가,0
172,연지동,0
173,양정동,1
174,중앙동6가,0
175,중앙동5가,0
176,중앙동4가,0
177,중앙동3가,0
178,중앙동2가,0
179,중앙동1가,0
180,봉래동2가,0
181,봉래동1가,0
182,신선동3가,0
183,신선동2가,0
184,신선동1가,0
185,영선동4가,0
186,영선동3가,0
187,대창동2가,0
188,대창동1가,0
189,영주동,1
190,영선동2가,0
191,영선동1가,0
192,남항동3가,0
193,남항동2가,0
194,천성동,0
195,초량동,1
196,남부민동,0
